name,address,latitude,longitude
포냐향,경기도 안산시 상록구 사동 1568-12,37.3013518,126.8384139
행복한 커피&다이닝,경기도 안산시 상록구 이동 636-4,37.3120133,126.8435802
더 타르트 1698,경기도 안산시 상록구 사동 1573,37.3019992,126.8395612
좋은아침과자점,경기도 안산시 상록구 이동 716-12,37.3082345,126.852394
에비수,경기도 안산시 상록구 사동 1155-10,37.3002168,126.8402868
뜨락,경기도 안산시 상록구 이동 640-5,37.3134687,126.8481223
이동닭한마리칼국수,경기도 안산시 상록구 이동 592-2,37.3079628,126.8583982
추억의 서서갈비,경기도 안산시 상록구 이동 715-8,37.3088769,126.8508072
양푼왕갈비,경기도 안산시 상록구 이동 661-2,37.3117976,126.847419
칸티푸르레스토랑,경기도 안산시 상록구 이동 716-12,37.3082345,126.852394
